,FIELD,CODE,TICKER
582,RI,SMB,U:SMB
583,RI,SMH,@SMH
584,RI,SMN,U:SMN
585,RI,SPD,U:SPD
586,RI,SPY,U:SPY
587,RI,SRS,U:SRS
588,RI,SSG,U:SSG
589,RI,SSO,U:SSO
590,RI,SUB,U:SUB
591,RI,SYE,U:SYE
592,RI,SYG,U:SYG
593,RI,SYV,U:SYV
594,RI,SZK,U:SZK
595,RI,TAN,U:TAN
596,RI,TBF,U:TBF
597,RI,TBT,U:TBT
598,RI,TBX,U:TBX
599,RI,TDV,U:TDV
600,RI,TFI,U:TFI
601,RI,THD,U:THD
602,RI,THY,U:THY
603,RI,TIP,U:TIP
604,RI,TLH,U:TLH
605,RI,TLT,@TLT
606,RI,TMF,U:TMF
607,RI,TMV,U:TMV
608,RI,TNA,U:TNA
609,RI,TOK,U:TOK
610,RI,TTT,U:TTT
611,RI,TUR,@TUR
612,RI,TWM,U:TWM
613,RI,TYD,U:TYD
614,RI,TYO,U:TYO
615,RI,TZA,U:TZA
616,RI,UAE,@UAE
617,RI,UAG,U:UAG
618,RI,UBG,U:UBG
619,RI,UBR,U:UBR
620,RI,UBT,U:UBT
621,RI,UCC,U:UCC
622,RI,UCI,U:UCI
623,RI,UCO,U:UCO
624,RI,UDN,U:UDN
625,RI,UFO,@UFO
626,RI,UGA,U:UGA
627,RI,UGE,U:UGE
628,RI,UGL,U:UGL
629,RI,UJB,U:UJB
630,RI,ULE,U:ULE
631,RI,UNG,U:UNG
632,RI,UNL,U:UNL
633,RI,UPV,U:UPV
634,RI,UPW,U:UPW
635,RI,URA,U:URA
636,RI,URE,U:URE
637,RI,USD,U:USD
638,RI,USI,U:USI
639,RI,USL,U:USL
640,RI,USO,U:USO
641,RI,UST,U:UST
642,RI,USV,U:USV
643,RI,UUP,U:UUP
644,RI,UWM,U:UWM
645,RI,UXI,U:UXI
646,RI,UYG,U:UYG
647,RI,UYM,U:UYM
648,RI,VAW,U:VAW
649,RI,VBK,U:VBK
650,RI,VBR,U:VBR
651,RI,VCR,U:VCR
652,RI,VDC,U:VDC
653,RI,VDE,U:VDE
654,RI,VEA,U:VEA
655,RI,VEU,U:VEU
656,RI,VFH,U:VFH
657,RI,VGK,U:VGK
658,RI,VGT,U:VGT
659,RI,VHT,U:VHT
660,RI,VIG,U:VIG
661,RI,VIS,U:VIS
662,RI,VLU,U:VLU
663,RI,VNM,U:VNM
664,RI,VNQ,U:VNQ
665,RI,VOE,U:VOE
666,RI,VOO,U:VOO
667,RI,VOT,U:VOT
668,RI,VOX,U:VOX
669,RI,VPC,U:VPC
670,RI,VPL,U:VPL
671,RI,VPN,@VPN
672,RI,VPU,U:VPU
673,RI,VRP,U:VRP
674,RI,VSL,U:VSL
675,RI,VSS,U:VSS
676,RI,VTC,@VTC
677,RI,VTI,U:VTI
678,RI,VTV,U:VTV
679,RI,VUG,U:VUG
680,RI,VWO,U:VWO
681,RI,VXF,U:VXF
682,RI,VXX,U:VXX
683,RI,VXZ,U:VXZ
684,RI,VYM,U:VYM
685,RI,WFH,U:WFH
686,RI,WIL,U:WIL
687,RI,WIP,U:WIP
688,RI,WIZ,U:WIZ
689,RI,WPS,U:WPS
690,RI,XAR,U:XAR
691,RI,XBI,U:XBI
692,RI,XES,U:XES
693,RI,XHB,U:XHB
694,RI,XHE,U:XHE
695,RI,XHS,U:XHS
696,RI,XJH,U:XJH
697,RI,XJR,U:XJR
698,RI,XLB,U:XLB
699,RI,XLC,U:XLC
700,RI,XLE,U:XLE
701,RI,XLF,U:XLF
702,RI,XLG,U:XLG
703,RI,XLI,U:XLI
704,RI,XLK,U:XLK
705,RI,XLP,U:XLP
706,RI,XLU,U:XLU
707,RI,XLV,U:XLV
708,RI,XLY,U:XLY
709,RI,XME,U:XME
710,RI,XOP,U:XOP
711,RI,XPH,U:XPH
712,RI,XPP,U:XPP
713,RI,XRT,U:XRT
714,RI,XSD,U:XSD
715,RI,XSW,U:XSW
716,RI,XTL,U:XTL
717,RI,XTN,U:XTN
718,RI,XVV,U:XVV
719,RI,XVZ,U:XVZ
720,RI,YCL,U:YCL
721,RI,YCS,U:YCS
722,RI,YLD,U:YLD
723,RI,YXI,U:YXI
724,RI,YYY,U:YYY
725,RI,ZIG,U:ZIG
726,RI,ZSL,U:ZSL
727,RI,AAAU,U:AAAU
728,RI,AADR,U:AADR
729,RI,AAXJ,@AAXJ
730,RI,ABEQ,U:ABEQ
731,RI,ACES,U:ACES
732,RI,ACIO,U:ACIO
733,RI,ACSG,U:ACSG
734,RI,ACSI,U:ACSI
735,RI,ACTV,U:ACTV
736,RI,ACWF,U:ACWF
737,RI,ACWI,@ACWI
738,RI,ACWV,U:ACWV
739,RI,ACWX,@ACWX
740,RI,ADFI,U:ADFI
741,RI,ADME,U:ADME
742,RI,ADRE,@ADRE
743,RI,AESR,U:AESR
744,RI,AFIF,U:AFIF
745,RI,AFLG,U:AFLG
746,RI,AFMC,U:AFMC
747,RI,AFSM,U:AFSM
748,RI,AFTY,U:AFTY
